,name,food type,establishment,family-friendly,price range,customer rating,address,phone number,menu,open hours,distance,dating
,The String Bean Restaurant,southern American,restaurant,yes,moderate,high,"1310 W Campbell Rd Ste 101, Richardson, TX 75080",9723853287,http://www.thestringbean.com/menu.html,"Sun-Wed 11:00-20:00, Thu-Sat 11:00-21:00",near,no
,Southern Recipes Grill,American,restaurant,no,cheap,average,"621 W Plano Pkwy #229, Plano, TX 75075",9723129800,https://www.southernrecipesgrill.site/,"Mon-Wed 7:00-15:00, Thu-Fri 7:00-21:00, Sat-Sun 8:00-21:00",more than 3 miles,no
,Apollonias Italian Kitchen,Italian,restaurant,no,cheap,average,"3610 Shire Blvd Suite 108, Richardson, TX 75082",4692090500,https://apolloniasitaliankitchen.com/richardson-apollonia-s-italian-kitchen-food-menu,"Mon-Fri 11:00-21:00, Sat-Sun 16:00-21:00",more than 3 miles,yes
,Student Union Food Court,American,fast food,no,cheap,average,"Student Union, 2601 N Floyd Rd, Richardson, TX 75080",9728832111,https://new.dineoncampus.com/utdallasdining/where-to-eat,Mon-Fri 8:00-5:00,in campus,no
,Moes Southwest Grill,Mexican,restaurant,no,cheap,low,"Mail Stop SU 23, 800 W Campbell Rd, Richardson, TX 75080",9728834769,http://www.moes.com/menu?utm_source=google&utm_medium=organic&utm_campaign=menu,Mon-Fri 11:00-8:00,in campus,no
,Chick-fil-A,chicken,fast food,no,cheap,average,"Founders North, 2601 N Floyd Rd, Richardson, TX 75080",9728834769,https://www.chick-fil-a.com/locations/tx/university-of-texas-dallas/menu?utm_source=yext&utm_medium=link,Mon-Sat 6:30-22:00,in campus,no
,Panda Express,Chinese,restaurant,no,cheap,low,"Student Union, 800 W Campbell Rd, Richardson, TX 75080",9728834769,https://www.pandaexpress.com/menu/entrees,"Mon-Thu 11:00-18:00, Fri 11:00-17:00",in campus,no
,Firehouse Subs,sandwich,shop,no,cheap,low,"Student Union, 800 W Campbell Rd #2.208, Richardson, TX 75080",8882896185,https://www.firehousesubs.com/our-food/,Mon-Fri 11:00-16:00,in campus,no
,The Halal Shack,Halal,restaurant,no,cheap,low,"Student Union, 2601 N Floyd Rd, Richardson, TX 75080",9728836248,https://www.thehalalshack.com/discover-deliciousness/build-your-own,"Mon-Thu 11:00-20:00, Fri 11:00-15:00",in campus,no
,Smoothie King,smoothie,shop,no,moderate,low,"2601 N Floyd Rd, Richardson, TX 75080",9728837486,https://www.smoothieking.com/menu/smoothies,Mon-Fri 7:30-18:00,in campus,no
,The Pub at UTD,American,pub,no,cheap,low,"Student Union, 2601 N Floyd Rd, Richardson, TX 75080",9728834764,no,Mon-Fri 11:00-16:00,in campus,no
,Starbucks,coffee,shop,no,cheap,low,"842 Loop Rd SW, Richardson, TX 75080",no,https://www.starbucks.com/menu,"Mon-Thu 7:30-22:00, Fri 7:30-19:00 Sat-Sun 9:00-15:00",in campus,no
,Tradecraft Coffee + Tea Bar,coffee,shop,no,cheap,low,"800 W Campbell Rd, Richardson, TX 75080",no,no,Mon-Fri 8:00-16:00,in campus,no
,Taco Bell,taco,fast food,no,cheap,average,"2828 Rutford Ave Ste 4, Richardson, TX 75080",9728837471,https://www.tacobell.com/food,"Mon-Fri 8:00-24:00, Sat-Sun 9:00-17:00",in campus,no
,Einstein Bros. Bagels,bagel,restaurant,no,cheap,low,"800 N Loop Rd, Richardson, TX 75080",9728837470,http://www.einsteinbros.com/menu/bagels-and-shmear,Mon-Fri 7:30-16:00,in campus,no
,Dining Hall West,American,restaurant,no,moderate,low,"2770 Waterview Pkwy, Richardson, TX 75080",9728837466,https://dineoncampus.com/utdallasdining,"Mon-Thu 7:00-10:00&11:00-15:00&16:30-21:00, Fri 7:00-10:00&11:00-15:00&16:30-19:30, Sat-Sun 10:30-15:00&16:30-19:30",in campus,no
,Papa Johns,pizza,fast food,no,cheap,low,"2770 Waterview Pkwy, Richardson, TX 75080",no,https://www.papajohns.com/order/menu,"Mon-Thu 11:00-1:00, Fri-Sat 11:00-23:00, Sun 15:00-22:00",in campus,no
,Insomnia Cookies,cookie,shop,no,cheap,low,"3000 Northside Blvd Suite 300, Richardson, TX 75080",4697227557,https://insomniacookies.com/menu/2067,"Mon-Wed 11:00-1:00, Thu-Fri 11:00-3:00, Sat 12:00-3:00, Sun 12:00-1:00",near,no
,Pinto Urban Thai Diner,Thai,restaurant,no,moderate,average,"3000 Northside Blvd #400, Richardson, TX 75080",9724799979,https://pintoutd.square.site/,"Mon-Fri 11:00-21:00, Sat 12:00-21:00",near,no
,CHOPPED HALAL GRILL,Halal,restaurant,no,moderate,high,"3000 Northside Blvd #500, Richardson, TX 75080",9722352467,https://www.choppedhalalgrill.com/menus,Mon-Fri 11:00-21:00,near,no
,Fukuro,bubble tea,shop,no,cheap,high,"3000 Northside Blvd Suite 300, Richardson, TX 75080",9725289888,http://fukurotx.kwickmenu.com/,"Mon-Fri 11:00-22:00, Sun 12:00-22:00",near,yes
,Northside Drafthouse & Eatery,American,sports bar,no,cheap,high,"3000 North Blvd suite 800, Richardson, TX 75080",9722387915,http://www.northsidedrafthouse.com/,"Sun-Wed 11:00-24:00, Thu-Sun 11:00-2:00",near,no
,American Tap Room,American,bar&grill,no,moderate,average,"3000 Northside Blvd #900, Richardson, TX 75080",4698018224,https://www.atr-northside.com/menu,Mon-Fri 7:00-16:00,near,yes
,Cappuccino Italian Bistro,Italian,restaurant,yes,moderate,high,"1310 W Campbell Rd Ste 135, Richardson, TX 75080",9722411417,http://www.cappuccinoitalianbistro.com/lunch-menu/,"Mon-Fri 11:00-14:00&17:00-22:00, Sat 17:00-22:00, Sun 16:30-21:00",near,yes
,la Madeleine,French,restaurant,yes,moderate,average,"1320 W Campbell Rd, Richardson, TX 75080",9726714887,https://lamadeleine.com/locations/richardson-coit-campbell,Sun-Sat 7:00-21:00,near,yes
,Masala Wok,Indian,restaurant,no,moderate,low,"1310 W Campbell Rd #110, Richardson, TX 75080",(972) 644-9000,https://www.masalawok.com/s/order?location=11e9dee6426005efbdc20cc47a2ae638,Sun-Sat 11:00-22:00,near,no
,Old Damascus - Mediterranean Food,Mediterranean,restaurant,yes,cheap,high,"1310 W Campbell Rd #108, Richardson, TX 75080",(214) 242-9700,http://olddamascus.net/menu/,Tue-Sun 12:00-22:00,near,no
,Fat Straws Bubble Tea & Mochi Donuts,bubble tea,shop,no,cheap,high,"1251 W Campbell Rd #230, Richardson, TX 75080",4697262034,https://fatstraws.com/,Mon-Sat 8:00-21:00,near,no
,Sonny Bryan's Smokehouse,barbecue,restaurant,yes,moderate,average,"1251 W Campbell Rd Suite 240, Richardson, TX 75080",(972) 664-9494,https://sonnybryans.com/pages/menu-alternate?y_source=1_NDk3MzAyMDAtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,Sun-Sat 10:30-20:30,near,no
,Cafe Gecko,American,bar&grill,yes,cheap,high,"1381 W Campbell Rd, Richardson, TX 75080",9723734359,https://cafegeckorichardson.com/,"Sun-Mon 11:00-0:00, Tue-Sat 11:00-2:00",near,no
,Mi Cocina,Mexican,restaurant,yes,moderate,average,"1370 W Campbell Rd, Richardson, TX 75080",9726716426,https://www.micocina.com/locations/in/tx/dallas/lennox/,"Sun-Thu 11:00-22:00, Fri-Sat 11:00-23:00",near,yes
,"Akaya Sushi, Izakaya & Ramen",Japanese,restaurant,yes,moderate,high,"1310 W Campbell Rd #114, Richardson, TX 75080",9727070722,http://www.akayaizakaya.com/,Sun-Sat 11:00-22:00,near,yes
,Salata,salad,shop,no,cheap,high,"2160 N Coit Rd Suite 154, Richardson, TX 75080",4693996349,https://www.salata.com/menu?y_source=1_MTUxMDkxOTktNzE1LWxvY2F0aW9uLm1lbnVfdXJs,"Sun 11:00-15:00, Mon-Sat 11:00-21:00",near,no
,UnbelievaBOWL!,Japanese,restaurant,no,cheap,high,"2160 N Coit Rd Ste 130, Richardson, TX 75080",9728072829,http://unbelievabowlasiangrill.com/,"Sun 11:00-21:00, Mon-Sat 11:00-22:00",near,no
,Chili's Grill & Bar,Tex-Mex,restaurant,yes,moderate,average,"16623 Coit Rd, Dallas, TX 75248",9728137473,https://www.chilis.com/menu?utm_source=google&utm_medium=local&utm_campaign=Chilis,"Sun-Thu 10:45-23:00, Fri-Sat 10:45-0:00",near,yes
,Corner Bakery,sandwich,shop,no,cheap,average,"7615 Campbell Rd Ste 106, Dallas, TX 75248",9724079193,https://cornerbakery.com/menu,Sun-Sat 7:00-15:00,near,no
,TeaLatte Bar,bubble tea,shop,no,cheap,high,"7517 Campbell Rd #608, Dallas, TX 75248",4698703133,http://www.tealattebarrichardson.com/,"Sun-Thu 11:00-21:00, Fri-Sat 11:00-22:00",near,no
,Sushi Rock,Japanese,restaurant,no,moderate,high,"7601 Campbell Rd #700, Dallas, TX 75248",2147749701,https://www.sushirock.com/,"Mon-Thu 11:00-14:30&19:00-21:30, Fri 11:00-14:30&19:00-22:30, Sat 12:00-22:30",near,yes
,Rockfish Seafood Grill,seafood,restaurant,yes,moderate,average,"7639 Campbell Rd #800, Dallas, TX 75248",9722678979,http://www.rockfish.com/,"Sun 11:00-21:00, Mon-Fri 11:00-21:30, Sat 11:00-22:00",near,yes
,Braum's Ice Cream & Dairy Store,ice cream,shop,yes,cheap,high,"1260 W Campbell Rd, Richardson, TX 75080",(972) 231-4791,https://www.braums.com/menu/,Sun-Sat 6:00-22:45,near,no
,Panda Express,Chinese,restaurant,no,cheap,low,"1240 W Campbell Rd, Richardson, TX 75080",(972) 662-8827,https://www.pandaexpress.com/location/campbell-rd-lake-park-way-px/menu,Sun-Sat 10:30-21:00,near,no
,Sugarless deLite,bakery,shop,yes,moderate,high,"1389 W Campbell Rd, Richardson, TX 75080",9726442000,http://sugarlessdelite.com/product-category/low-carb/fresh-bakery-low-carb/,"Sun 12:00-17:00, Mon-Fri 10:00-17:00, Sat 10:00-18:00",near,no
,Bambu Thai-Asian Cuisine,Thai,restaurant,yes,moderate,average,"1930 N Coit Rd #100, Richardson, TX 75080",9724808880,https://www.bambuasiancuisine.com/menu,"Mon-Thu 11:00-14:30&17:00-21:30, Fri 11:00-14:30&17:00-22:00, Sat 12:00-22:00",near,yes
,QDOBA Mexican Eats,Mexican,restaurant,no,cheap,average,"1930 Coit Rd, Richardson, TX 75080",9722316655,https://www.qdoba.com/menu?utm_source=Listings,"Sat-Mon 11:00-21:00, Tue-Fri 10:30-21:00",near,no
,TLC Vegan Cafe,vegan,restaurant,yes,moderate,high,"1930 N Coit Rd #140, Richardson, TX 75080",(469) 562-4001,https://www.toasttab.com/tlc-vegan-kitchen-520-shepherd-drive-suite-10,"Sun 11:00-21:00, Mon-Tue 16:00-21:00, Thu 16:00-21:00, Fri 16:00-22:00, Sat 11:00-22:00",near,no
,INO Japanese Bistro,Japanese,restaurant,yes,cheap,high,"1920 N Coit Rd #250, Richardson, TX 75080",9728893200,no,Tue-Sun 11:30-15:00&17:00-21:30,near,yes
,Whataburger,burger,fast food,no,cheap,average,"1910 N Coit Rd, Richardson, TX 75080",9722312833,https://whataburger.com/,Sun-Sat 0:00-24:00,near,no
,Jersy Mike's Subs,sandwich,shop,no,cheap,average,"Corner of Coit & Cambell, 1920 N Coit Rd, Richardson, TX 75080",9727927100,https://www.jerseymikes.com/menu,Sun-Sat 10:00-21:00,near,no
,Bagel Cafe 21,bagel,shop,no,cheap,high,"1920 N Coit Rd Suite 211, Richardson, TX 75080",4694668131,https://7f64145a-63c0-46c2-8167-935aed98ba12.filesusr.com/ugd/456284_5e7adb6568ff4375b4a8b1b04d6d71b3.pdf,"Sun 7:00-14:00, Mon-Fri 6:30-14:00, Sat 7:00-13:00",near,no
,Little Greek Fresh Grill,Greek,restaurant,yes,cheap,high,"1920 N Coit Rd Ste. 241, Richardson, TX 75080",9722349191,https://littlegreekfreshgrill.com/wp-content/uploads/2019/06/N62740-Richardson-DFW-To-Go-Menus.pdf,Sun-Sat 11:00-21:00,near,no
,Palio's Pizza Cafe,pizza,restaurant,yes,moderate,high,"1469 W Campbell Rd, Richardson, TX 75080",9722344002,https://www.paliospizzacaferichardson.com/order/,"Sun-Thu 11:00-21:00, Fri-Sat 11:00-22:00",near,yes
,Campisi's Restaurant,Italian,restaurant,yes,moderate,average,"7632 Campbell Rd #315, Dallas, TX 75248",9729312267,http://www.campisis.us/menu/,Sun-Sat 11:00-21:00,near,no
,Golden Star Donuts,donut,shop,no,cheap,high,"7632 Campbell Rd #318, Dallas, TX 75248",9722488075,http://golden-star-donuts.poi.place/,"Mon-Fri 5:00-11:00, Sat-Sun 5:00-12:30",near,no
,Angel Chicken Kitchen,chicken,restaurant,yes,cheap,high,"7632 Campbell Rd Ste 314, Dallas, TX 75248",9727070977,https://order.toasttab.com/online/angel-chicken-kitchen-7632-campbell-rd-314,Sun-Sat 11:00-21:00,near,yes
,Cindi's NY Deli & Restaurant,American,restaurant,yes,cheap,high,"7522 Campbell Rd #117, Dallas, TX 75248",9722480608,http://cindisnydeli.com/wp-content/uploads/menus/menu-cindis-full.pdf,"Sat-Mon 7:00-15:00, Tue-Fri 7:00-20:00",near,no
,Smoothie Factory,smoothie,shop,no,cheap,low,"7522 Campbell Rd #106, Dallas, TX 75248",no,https://order.smoothiefactory.com/menu/pavillion-north/,"Sun 11:00-18:00, Mon-Fri 9:00-19:00, Sat 10:00-18:00",near,no
,Hoki Poki,Hawaiian,restaurant,no,cheap,high,"581 W Campbell Rd #105, Richardson, TX 75080",9725899204,https://www.orderhokipoki.com/,Mon-Sat 11:00-21:00,near,no
,Fuzzy's Taco Shop,Tex-Mex,restaurant,yes,cheap,average,"561 W Campbell Rd, Richardson, TX 75080",9729078226,https://fuzzystacoshop.olo.com/menu/richardson?y_source=1_MjAyMTg0NjQtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,Sun-Sat 7:00-22:00,near,yes
,Mezza Cafe,Mediterranean,restaurant,no,cheap,average,"581 W Campbell Rd, Richardson, TX 75080",9722312233,http://mezzacafemediterranean.com/full-menu/,"Mon-Thu 15:00-23:00, Fri-Sat 15:00-0:00",near,no
,Cairo Hookah Lounge,hookah,bar,no,moderate,average,"113, 3356, 581 W Campbell Rd, Richardson, TX 75080",(972) 238-5100,http://www.cairohookahlounge.com/,Sun-Sat 15:30-2:00,near,yes
,Campbell Donuts,donut,shop,no,cheap,high,"581 W Campbell Rd, Richardson, TX 75080",(214) 463-1605,https://www.instagram.com/campbelldonuts/,"Mon-Fri 5:00-12:00, Sat-Sun 5:00-13:00",near,no
,Ding Tea Richardson,bubble tea,shop,no,cheap,high,"581 W Campbell Rd, Richardson, TX 75080",(972) 707-7275,http://places.singleplatform.com/ding-tea-richardson/menu?ref=google,Sun-Sat 11:00-22:00,near,yes
,Olive Oil's Pizzeria,pizza,restaurant,yes,moderate,high,"581 W Campbell Rd #129, Richardson, TX 75080",9724809555,https://oliveoilspizzeria-richardson.brygid.online/zgrid/proc/site/mobile/sitep.jsp,"Sun-Thu 11:00-23:00, Fri-Sat 11:00-24:00",near,no
,Pizza Hut,pizza,shop,no,cheap,low,"515 W Campbell Rd #113, Richardson, TX 75080",9729072900,https://www.pizzahut.com/link.php?menu=pizza&utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=menu&utm_term=288409,"Sun-Thu 10:00-23:00, Fri-Sat 10:00-0:00",near,no
,Jack in the Box,American,fast food,no,cheap,average,"2230 N Coit Rd, Richardson, TX 75080",9729072206,https://locations.jackinthebox.com/us/tx/richardson/2230-n-coit-rd?utm_source=google&utm_medium=local&utm_campaign=google-local,Sun-Sat 0:00-24:00,near,no
,Woody B's BBQ,barbecue,restaurant,yes,moderate,high,"1980 Nantucket Dr, Richardson, TX 75080",(214) 295-2892,http://places.singleplatform.com/woodys-bbq-26/menu?ref=google,"Tue-Fri 11:00-19:00, Sat 10:00-18:00",near,no
,The Fifth: Fireside Patio and Bar,American,restaurant,yes,moderate,high,"2701 Custer Pkwy Ste 700, Richardson, TX 75080",2147580777,https://www.thefifthtx.com/all-menus/,"Sun 10:00-21:00, Mon 16:00-21:00, Tue-Thu 11:00-21:00, Fri-Sat 11:00-22:00",near,yes
,Bunkies Donut,donut,shop,no,cheap,high,"504 W Lookout Dr, Richardson, TX 75080",9726906852,no,Sun-Sat 6:00-24:00,near,no
,Dos Arroyos Comida Casera,Mexican,restaurant,yes,moderate,high,"2701 Custer Pkwy, Richardson, TX 75080",9722318667,https://www.dosarroyoscomidacasera.com/menus,"Sun-Thu 11:00-21:00, Fri-Sat 11:00-22:00",near,yes
,Feng Cha,bubble tea,shop,yes,cheap,high,"2701 Custer Pkwy, Richardson, TX 75080",9726850202,https://orders.hazlnut.com/menu/b/Feng%20Cha%20Teahouse/n/370/p/128/g/1545,"Sun-Thu 11:30-21:30, Fri-Sat 11:30-22:30",near,yes
,Shady's Burger & Brewhaha,burger,restaurant,yes,moderate,high,"2701 Custer Pkwy #915, Richardson, TX 75080",2144842689,https://shadysburgers.com/menu/,"Sun-Wed 11:00-21:00, Thu-Sat 11:00-22:00",near,yes
,Eiland Coffee,coffee,shop,yes,cheap,high,"2701 Custer Pkwy Suite 917, Richardson, TX 75080",4693720818,http://www.eilandcoffee.com/,"Sun 8:00-14:00, Mon-Fri 7:00-20:00, Sat 8:00-20:00",near,no
,Sky Rocket Burger,burger,restaurant,yes,cheap,high,"7877 Frankford Rd #101B, Dallas, TX 75252",4698637090,https://www.skyrocketburger.com/gallery,Tue-Sat 11:00-21:00,near,no
,Shuck N Jive,Cajun,restaurant,yes,cheap,average,"401 W President George Bush Hwy #126, Richardson, TX 75080",(469) 665-8798,https://zingmyorder.com/restaurants/shuck-n-jive-401-president-george-bush-126,Sun-Sat 11:00-2:00,more than 3 miles,no
,Rodeo Goat,hamburger,restaurant,yes,moderate,high,"641 Powell Ln, Plano, TX 75075",(469) 409-4628,http://rodeogoat.com/plano/,"Sun-Thu 11:00-22, Fri-Sat 11:00-23:00",more than 3 miles,no
,Great Wall Super Buffet,Chinese,buffet,yes,cheap,average,"901 W Plano Pkwy, Plano, TX 75075",(972) 578-8887,no,"Mon-Fri 11:00-21:00, Sat-Sun 11:00-21:30",more than 3 miles,no
,Olive Garden Italian Restaurant,Italian,restaurant,yes,moderate,high,"700 N Central Expy, Plano, TX 75074",(972) 578-8576,https://www.olivegarden.com/menu/classic-entrees?setRestaurant=1284&cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:plano-tx-1284_pl:menu_rd:1214,Sun-Sat 11:00-22:00,more than 3 miles,yes
,El Fenix,Mexican,restaurant,yes,moderate,average,"810 N Central Expy #8, Plano, TX 75074",(972) 578-1020,https://www.elfenix.com/location/el-fenix-plano/,Sun-Sat 11:00-22:00,more than 3 miles,yes
,Black Rifle Coffee Company,coffee,shop,no,cheap,high,"901 N Central Expy, Plano, TX 75075",(210) 890-5402,https://www.blackriflecoffee.com/pages/plano-retail,Sun-Sat 5:00-20:00,more than 3 miles,yes
,Lima Taverna,Peruvian,restaurant,yes,moderate,average,"621 W Plano Pkwy #247, Plano, TX 75075",(469) 969-2034,https://www.limatavernatogo.com/,"Tue-Sat 11:00-22:00, Sun 11:00-21:00",more than 3 miles,yes
