,name,food type,establishment,family-friendly,price range,customer rating,address,phone number,menu,open hours,distance,dating
,McAlister's Deli,sandwich,shop,yes,moderate,high,"701 N Central Expy, Plano, TX 75075",(469) 467-6400,https://www.mcalistersdeli.com/menu?utm_source=google&utm_medium=organic&utm_campaign=menu,Sun-Sat 10:00-21:00,more than 3 miles,no
,Hooters,American,sports bar,no,moderate,average,"720 Central Expy, Plano, TX 75074",(972) 422-9464,https://order.hooters.com/menu/plano?utm_medium=organic&utm_source=google&utm_campaign=gmb-dfw-north&utm_content=plano&utm_term=menu-cta,"Sun 11:00-23:00, Mon-Thu 11:00-0:00, Fri-Sat 11:00-1:00",more than 3 miles,no
,Chocolate Angel Cafe & Tea Room,coffee,shop,yes,moderate,high,"800 Central Expy, Plano, TX 75074",(972) 904-9597,http://www.chocolateangel.com/,Tue-Sat 11:00-16:00,more than 3 miles,yes
,Simon's Sushi,sushi,restaurant,yes,moderate,high,"810 N Central Expy UNIT 110, Plano, TX 75074",(972) 881-0818,https://m.facebook.com/pages/category/Sushi-Restaurant/Simons-Sushi-91793981244/,"Sun 17:30-21:00, Mon-Thu 11:30-14:00&17:30-21:00, Fri 11:30-14:00&17:30-21:30, Sat 17:30-21:30",more than 3 miles,yes
,Valerie's Taco Shop,taco,shop,no,cheap,average,"1130 N Central Expy, Plano, TX 75074",(469) 366-9099,no,"Sun 10:00-20:00, Mon-Fri 7:00-22:00, Sat 8:30-22:00",more than 3 miles,no
,Chipotle Mexican Restaurant,Mexican,restaurant,no,cheap,average,"1009 N Central Expy, Plano, TX 75075",(972) 423-5115,https://www.chipotle.com/menu,Sun-Sat 10:45-22:00,more than 3 miles,no
,Tokyo Harbor,Japanese,restaurant,yes,moderate,high,"1025 N Central Expy #100, Plano, TX 75075",(469) 573-8688,https://www.mealage.com/m.jsp?id=7207,"Sun 12:00-22:00, Tue-Thu 11:00-15:00&16:30-22:00, Fri 11:00-15:00&16:30-23:30, Sat 12:00-23:00",more than 3 miles,yes
,BJ's Restaurant & Brewhouse,American,restaurant,yes,moderate,average,"1101 N Central Expy, Plano, TX 75075",(972) 424-4262,https://www.bjsrestaurants.com/menu,"Sun-Thu 11:00-23:00, Fri-Sat 11:00-0:00",more than 3 miles,yes
,Einstein Bros. Bagels,bagel,shop,yes,cheap,low,"1201 Central Expy Ste 1, Plano, TX 75075",(972) 881-2166,http://www.einsteinbros.com/menu/bagels-and-shmear,Sun-Sat 5:00-14:00,more than 3 miles,no
,la Madeleine,French,restaurant,yes,moderate,average,"520 W 15th St, Plano, TX 75075",(972) 398-3002,https://lamadeleine.com/locations/plano-collin-creek,Sun-Sat 7:00-21:00,more than 3 miles,yes
,Raising Cane's Chicken Fingers,chicken,fast food,yes,cheap,high,"1000 W 15th St, Plano, TX 75075",(972) 422-7084,http://places.singleplatform.com/raising-canes-chicken-fingers-26/menu?ref=google,"Sun-Thu 10:00-0:00, Fri-Sat 9:00-1:00",more than 3 miles,no
,Boston Market,American,restaurant,yes,cheap,low,"701 W 15th St, Plano, TX 75075",(972) 578-7997,https://www.bostonmarket.com/menu/,Sun-Sat 10:30-22:00,more than 3 miles,no
,Potbelly,sandwich,shop,yes,cheap,high,"601 W 15th St, Plano, TX 75075",(469) 241-9056,https://www.potbelly.com/locations/texas/collin-creek,Sun-Sat 10:00-22:00,more than 3 miles,no
,Norma's Caf??,American,restaurant,yes,moderate,high,"605 W 15th St, Plano, TX 75075",(214) 440-2748,http://www.normascafe.com/menu,Sun-Sat 7:00-20:00,more than 3 miles,yes
,Sticky Rice - Richardson,Laotian,restaurant,yes,cheap,high,"120 W CityLine Dr #500, Richardson, TX 75082",(972) 803-5962,https://stickyricetx.com/cityline,"Sun 12:00-21:00, Mon-Fri 11:00-15:00, 17:00-22:00, Sat 12:00-22:00",more than 3 miles,no
,Good Union Urban BBQ,barbecue,restaurant,yes,moderate,high,"1150 State St #150, Richardson, TX 75082",(469) 913-4890,https://www.goodunionbbq.com/menu,"Sun 11:00-20:00, Mon-Thu 7:00-21:00, Fri 7:00-22:00, Sat 11:00-22:00",more than 3 miles,yes
,Fernando's Mexican Cuisine,Mexican,restaurant,yes,moderate,high,"1250 State St #100, Richardson, TX 75082",(972) 234-1730,http://fernandostexmex.com/wp-content/uploads/2018/02/FernandosCityLineMenu.pdf,"Sun 10:00-21:00, Mon-Wed 11:00-21:00, Thu-Fri 11:00-21:30, Sat 10:00-21:30",more than 3 miles,yes
,Oni Ramen,ramen,restaurant,no,moderate,average,"1250 State Street St, 900, Richardson, TX 75082",(214) 613-6590,http://www.oniramen.com/,"Sun-Wed 11:00-22:00, Thu-Sat 11:00-23:00",more than 3 miles,no
,Jasper's Richardson,American,restaurant,yes,expensive,high,"1251 State St #950, Richardson, TX 75082",(214) 716-2610,http://www.jaspersrichardson.com/menu-1?y_source=1_MjY0ODYwODktNzE1LWxvY2F0aW9uLm1lbnVfdXJs,"Sun 11:00-15:00, Tue-Sat 16:00-21:00",more than 3 miles,yes
,Chick-fil-A,chicken,fast food,yes,cheap,high,"1400 E Renner Rd, Richardson, TX 75082",(972) 665-7064,https://www.chick-fil-a.com/locations/tx/cityline/menu?utm_source=yext&utm_medium=link,Mon-Sat 6:00-22:00,more than 3 miles,no
,Piada Italian Street Food,Italian,restaurant,no,cheap,high,"1551 E Renner Rd #800, Richardson, TX 75082",(972) 807-9087,https://mypiada.com/menu/richardson,Sun-Sat 10:45-22:00,more than 3 miles,no
,Tiff's Treats Cookie Delivery,cookie,shop,no,cheap,high,"1417 E Renner Rd Bldg C, Suite 340, Richardson, TX 75082",(972) 850-5900,https://www.cookiedelivery.com/Menu.aspx,"Mon-Fri 9:00-22:00, Sat-Sun 10:00-22:00",more than 3 miles,no
,Luna Grill Richardson,Mediterranean,restaurant,yes,moderate,average,"1419 E Renner Rd Suite 510, Richardson, TX 75082",(469) 677-6812,https://lunagrill.com/menu/?y_source=1_MTQ0NDgwNzMtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,Sun-Sat 11:00-21:00,more than 3 miles,no
,Smashburger,hamburger,restaurant,yes,moderate,low,"1425 E Renner Rd, Richardson, TX 75082",(214) 646-1297,https://order.smashburger.com/menu/1501-renner-plano,"Sun-Thu 10:30-21:30, Fri-Sat 10:30-22:00",more than 3 miles,no
,Pho Is For Lovers,Vietnamese,restaurant,yes,moderate,high,"1551 E Renner Rd #820, Richardson, TX 75082",(469) 620-3910,http://www.phoisforlovers.net/downloads/PIFL-menu-cityline.pdf,Sun-Sat 11:00-20:00,more than 3 miles,yes
,Bruncheon,brunch,restaurant,yes,cheap,average,"1551 E Renner Rd #830, Richardson, TX 75082",(469) 399-0846,https://www.bruncheonbreakfast.com/,"Mon-Fri 7:00-15:00, Sat-Sun 7:00-16:00",more than 3 miles,yes
,Starbucks,coffee,shop,no,cheap,high,"1405 E Renner Rd, Richardson, TX 75082",(469) 992-4929,http://places.singleplatform.com/starbucks-11782/menu?ref=google,"Mon-Fri 5:00-21:00, Sat-Sun 5:30-21:00",more than 3 miles,no
,Texas,steak,restaurant,no,expensive,high,"3609 Shire Blvd, Richardson, TX 75082",(972) 664-9975,https://www.thesonoftexas.com/menu,"Mon-Thu 16:00-21:00, Fri-Sat 16:00-22:00",more than 3 miles,yes
,Sweetwaters Coffee & Tea,coffee,shop,no,cheap,high,"3613 Shire Blvd #110, Richardson, TX 75082",(469) 250-7975,https://www.sweetwaterscafe.com/menu/coffee/,"Sun 7:30-19:00, Mon-Thu 6:30-20:00, Fri 6:30-21:00, Sat 7:30-21:00",more than 3 miles,no
,Liberty Burger Richardson,hamburger,restaurant,yes,moderate,high,"3617 Shire Blvd, Richardson, TX 75082",(469) 863-7111,https://www.givemelibertyburger.com/grubs-suds,Sun-Sat 11:00-21:00,more than 3 miles,no
,Silver Fox,steak,restaurant,yes,expensive,high,"3650 Shire Blvd, Richardson, TX 75082",(972) 423-8121,http://places.singleplatform.com/silver-fox-steakhouse-richardson/menu?ref=google,Mon-Sat 17:00-22:00,more than 3 miles,yes
,Jersey Mike's Subs,sandwich,shop,no,cheap,average,"2040 E President George Bush Hwy Suite130, Richardson, TX 75082",(972) 423-0031,https://www.jerseymikes.com/menu,Sun-Sat 10:00-21:00,more than 3 miles,no
,Gillespie's Tavern at the Shire,Irish,pub,yes,moderate,high,"3600 Shire Blvd #112, Richardson, TX 75082",(469) 367-4651,https://gillespiestavern.com/richardson-gillespie-s-tavern-at-the-shire-food-menu,"Sun 10:30-15:00, Mon-Wed 11:00-23:00, Thu-Fri 11:00-2:00, Sat 16:00-2:00",more than 3 miles,yes
,Anaya's Seafood - Richardson,seafood,restaurant,yes,moderate,high,"3600 Shire Blvd # 100, Richardson, TX 75082",(214) 501-2540,https://www.anayaseafood.com/,"Sun 10:00-21:00, Mon-Thu 11:00-21:00, Fri 11:00-22:00, Sat 10:00-22:00",more than 3 miles,yes
,Thai's Thumbz Urban Kitchen,Thai,restaurant,yes,moderate,high,"3610 Shire Blvd, Richardson, TX 75082",(972) 423-2444,http://www.thaisthumbz.com/,"Mon-Thu 11:00-14:00&16:00-21:00, Fri 11:00-14:00&16:00-22:00, Sat 12:00-22:00",more than 3 miles,yes
,Tandoori Pizza & Grill,Indian,restaurant,yes,cheap,high,"3601 N Jupiter Rd #450, Richardson, TX 75082",(972) 437-0000,https://www.tandooripizza.net/s/order?location=11eb050ed5e3ea9ab101ac1f6bbbcc9c,"Mon-Thu 11:00-20:00, Fri 11:00-21:00, Sat 12:00-21:00",more than 3 miles,no
,Taqueria Tepito,Mexican,restaurant,no,cheap,high,"3601 N Jupiter Rd #100, Richardson, TX 75082",(469) 626-0047,https://taqueriatepitorichardson.com/,Sun-Sat 11:00-22:00,more than 3 miles,no
,Hot Pancakes,breakfast,restaurant,yes,cheap,high,"3601 N Jupiter Rd Suite 200, Richardson, TX 75082",(972) 423-1603,https://hotpancakestx.com/hotpancakes/order?utm_source=google,"Mon-Fri 6:00-14:00, Sat-Sun 7:00-14:00",more than 3 miles,yes
,Porta Di Roma Italian Restaurant & Bar,Italian,restaurant,no,moderate,average,"2301 Performance Dr, Richardson, TX 75082",(972) 685-5500,http://places.singleplatform.com/porta-di-roma-1/menu?ref=google,"Mon-Fri 11:00-14:00, 17:00-22:00, Sat 15:00-22:00",more than 3 miles,yes
,Hat Creek Burger Company,hamburger,restaurant,yes,moderate,high,"2311 N Central Expy, Richardson, TX 75080",(469) 729-0771,https://hatcreekburgers.com/full-menu,Sun-Sat 11:00-21:00,more than 3 miles,no
,Ali Baba Mediterranean,Mediterranean,buffet,yes,moderate,high,"2103 N Central Expy, Richardson, TX 75080",(972) 437-1222,http://alibabamedgrill.com/dinner/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,"Sun 11:00-15:00&17:00-20:00, Mon-Thu 11:00-14:30&17:00-20:00, Fri 11:00-14:30&17:00-21:00, Sat 11:00-15:00&17:00-21:00",more than 3 miles,yes
,Sushi Sake,sushi,restaurant,yes,moderate,high,"2150 N Collins Blvd, Richardson, TX 75080",(972) 470-0722,http://places.singleplatform.com/sushi-sake-3/menu?ref=google,"Mon-Fri 11:30-14:00&17:30-22:00, Sat 17:30-22:00",more than 3 miles,yes
,Cafe Brazil,coffee,shop,yes,cheap,average,"2071 N Central Expy, Richardson, TX 75080",(972) 783-9011,http://cafebrazil.com/wp-content/uploads/2019/01/clean-Cafe-Brazil-Tri-Fold-Menu.pdf,Sun-Sat 0:00-0:00,more than 3 miles,yes
,Palapas Seafood Bar,seafood,bar,yes,moderate,low,"2100 Alamo Rd suite s, Richardson, TX 75080",(972) 707-8755,http://places.singleplatform.com/palapas-seafood-bar-0/menu?ref=google,"Mon-Thu 11:30-21:00, Fri-Sun 11:30-23:00",more than 3 miles,yes
,Burning Rice,Korean,restaurant,yes,moderate,high,"2069 N Central Expy Suite 200, Richardson, TX 75080",(469) 609-6455,https://www.burningrice.com/menu,Sun-Sat 11:40-21:00,more than 3 miles,no
,Taqueria & Tamaleria Nuevo Le??n,Mexican,restaurant,yes,moderate,high,"2069 N Central Expy #100, Richardson, TX 75080",(972) 685-4811,http://taquerianuevoleon.com/,Sun-Sat 7:00-22:00,more than 3 miles,no
,Kung Fu Tea,bubble tea,shop,no,cheap,average,"2067 N Central Expy #100, Richardson, TX 75080",(972) 907-1578,https://kungfutea.com/,"Sun-Thu 11:30-21:30, Fri-Sat 11:30-22:00",more than 3 miles,no
,Kolache Factory,breakfast,restaurant,no,cheap,high,"2051 N Central Expy STE 101, Richardson, TX 75080",(214) 272-9204,https://locations.kolachefactory.com/kolache-factory-747990490f29,"Mon-Sat 6:00-14:00, Sun 7:00-14:00",more than 3 miles,no
,Taco Cabana,taco,restaurant,no,cheap,low,"2041 N Central Expy, Richardson, TX 75080",(972) 238-1141,https://www.tacocabana.com/menu,Sat-Sun 6:00-22:00,more than 3 miles,no
,Fox & Hound - Richardson,American,pub,yes,moderate,average,"112 W Campbell Rd, Richardson, TX 75080",(972) 437-4225,http://www.foxandhound.com/locations/richardson/?menu,Sat-Sun 11:00-2:00,more than 3 miles,yes
,The Great Outdoors Sub Shop,sandwich,shop,no,cheap,high,"2005 Alamo Rd, Richardson, TX 75080",(972) 437-5038,https://greatoutdoorsubs.com/menu/,"Mon-Fri 10:00-20:00, Sat-Sun 10:00-19:30",more than 3 miles,no
,Velvet Taco,taco,restaurant,yes,moderate,high,"102 W Campbell Rd, Richardson, TX 75080",(469) 445-2666,http://www.velvettaco.com/location/richardson/,"Sun-Thu 11:00-23:00, Fri-Sat 11:00-2:00",more than 3 miles,yes
,Chick-fil-A,chicken,fast food,no,cheap,high,"106 W Campbell Rd, Richardson, TX 75080",(972) 479-8930,https://www.chick-fil-a.com/locations/tx/cityline/menu?utm_source=yext&utm_medium=link,Mon-Sat 6:00-22:00,more than 3 miles,no
,McDonald's,hamburger,fast food,yes,cheap,low,"170 W Campbell Rd, Richardson, TX 75080",(972) 690-9821,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=RF:YXT_LS:SI::MGBM,Sun-Sat 0:00-0:00,more than 3 miles,no
,Starbucks,coffee,shop,no,moderate,average,"101 W Campbell Rd, Richardson, TX 75080",(972) 231-1371,http://www.starbucks.com/menu,"Mon-Fri 5:00-23:00, Sat-Sun 5:30-23:00",more than 3 miles,no
,Potbelly,sandwich,shop,no,cheap,high,"101 W Campbell Rd, Richardson, TX 75080",(972) 235-5848,https://www.potbelly.com/locations/texas/central-campbell,"Sun-Thu 10:00-21:00, Fri-Sat 10:00-22:00",more than 3 miles,no
,Burger King,hamburger,restaurant,no,cheap,low,"177 W Campbell Rd, Richardson, TX 75080",(972) 238-7891,https://www.bk.com/menu,Sun-Sat 6:00-0:00,more than 3 miles,no
,Austin's Grill,American,bar&grill,yes,moderate,average,"1655 N Central Expy, Richardson, TX 75080",(972) 238-1900,http://places.singleplatform.com/austins-grill/menu?ref=google,Sun-Sat 0:00-0:00,more than 3 miles,yes
,Chipotle Mexican Grill,Mexican,restaurant,no,cheap,average,"283 W Campbell Rd, Richardson, TX 75080",(972) 907-1712,https://www.chipotle.com/menu,Sun-Sat 10:45-22:00,more than 3 miles,no
,Jimmy John's,sandwich,shop,no,cheap,low,"285 W Campbell Rd, Richardson, TX 75080",(972) 334-6938,https://locations.jimmyjohns.com/tx/richardson/sandwiches-1229.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,Sun-Sat 10:30-21:00,more than 3 miles,no
,Dimassi's Mediterranean Buffet,Mediterranean,buffet,yes,moderate,high,"180 W Campbell Rd, Richardson, TX 75080",(972) 250-2000,http://places.singleplatform.com/dimassis-mediterranean-buffet-2/menu?ref=google,"Sun-Thu 11:00-21:00, Fri-Sat 11:00-22:00",more than 3 miles,no
,CAVA,Mediterranean,restaurant,no,cheap,average,"222 W Campbell Rd, Richardson, TX 75080",(469) 809-7981,https://cava.com/menu,Sun-Sat 10:45-22:00,more than 3 miles,no
,First Watch,breakfast,restaurant,no,moderate,high,"202 W Campbell Rd Ste 202, Richardson, TX 75080",(469) 613-2727,https://storage.googleapis.com/firstwatch-web/FWR0322_July22Menu_ADA_4R.pdf,Sun-Sat 7:00-14:30,more than 3 miles,no
,Below 40 Fresh Kitchen,Japanese,restaurant,no,cheap,average,"220 W Campbell Rd, Richardson, TX 75080",(972) 807-2222,http://below40freshkitchen.com/location/richardson-2/,Mon-Sat 11:00-21:00,more than 3 miles,yes
,Freebirds World Burrito,Mexican,restaurant,yes,cheap,average,"238 W Campbell Rd, Richardson, TX 75080",(972) 907-9999,https://www.freebirds.com/,Sun-Sat 10:30-21:30,more than 3 miles,yes
,Mumtaz Indian Restaurant,Indian,buffet,yes,cheap,average,"216 W Campbell Rd, Richardson, TX 75080",(214) 575-2100,https://order.online/store/MumtazIndianRestaurant-17501,"Sun 11:30-15:00&17:30-22:00, Mon-Thu 11:00-14:30&17:30-22:00, Fri 11:00-14:30&17:30-22:30, Sat 11:30-15:00&17:30-22:30",more than 3 miles,yes
,La La Land Kind Cafe,coffee,shop,no,cheap,high,"242 W Campbell Rd, Richardson, TX 75080",(469) 248-2486,http://lalalandkindcafe.com/,Sun-Sat 6:30-20:00,more than 3 miles,no
,Casanova Hookah Lounge,hookah,bar,no,moderate,average,"2050 N Collins Blvd #101, Richardson, TX 75080",(903) 413-9405,no,"Sun-Thu 15:00-2:00, Fri-Sat 15:00-4:30",more than 3 miles,no
,Snappy Salads Richardson,salad,shop,yes,moderate,high,"320 W Campbell Rd, Richardson, TX 75080",(972) 792-7627,https://www.snappysalads.com/menus/,"Sun 11:00-20:00, Mon-Sat 11:00-21:00",more than 3 miles,no
,Junbi Macha,tea,shop,no,cheap,high,"326 W Campbell Rd, Richardson, TX 75080",(469) 779-7423,http://places.singleplatform.com/junbi-matcha/menu?ref=google,Sun-Sat 10:00-22:00,more than 3 miles,no
,Smoothie King,smoothie,shop,no,moderate,high,"342 W Campbell Rd, Richardson, TX 75080",(972) 699-1039,http://smoothieking.com/menu,"Sun 8:00-19:45, Mon-Fri 6:00-21:45, Sat 7:00-20:45",more than 3 miles,no
,SPIN! Pizza,pizza,restaurant,yes,moderate,high,"348 W Campbell Rd, Richardson, TX 75080",(972) 235-7746,https://order.myguestaccount.com/menu/5ea8300f902ad5241c7b240a,Sun-Sat 11:00-21:00,more than 3 miles,yes
,Masala Twist Richardson,Indian,buffet,yes,moderate,high,"955 E Campbell Rd #200, Richardson, TX 75081",(972) 210-0744,https://masalatwistusa.com/,"Sun 12:00-15:00&18:00-21:30, Tue-Thu 11:30-14:30&17:30-21:30, Fri 11:30-14:30&17:30-20:30, Sat 12:00-15:00&18:00-22:30",more than 3 miles,yes
,Pho OK!,Vietnamese,restaurant,no,cheap,high,"955 E Campbell Rd #100, Richardson, TX 75081",no,http://places.singleplatform.com/pho-ok-0/menu?ref=google,"Mon-Fri 11:00-19:00, Sat 11:00-17:00",more than 3 miles,no
,Wendy's,hamburger,fast food,no,cheap,average,"935 E Campbell Rd, Richardson, TX 75081",(972) 528-4857,https://menu.wendys.com/en_US/categories/?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,"Sun 8:00-1:00, Mon-Wed 6:30-12:00, Thu-Fri 6:30-1:00, Sat 6:30-0:00",more than 3 miles,no
